Descrizione attività;RS NP (t);RS P (t);Totale (t)
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;1.293;63;1.356
02 - Silvicoltura ed utilizzo di aree forestali;-;2;2
06 - Estrazione di petrolio greggio e di gas naturale;990.770;67.383;1.058.153
08 - Altre attività di estrazione di minerali da cave e miniere;6;12;18
09 - Attività dei servizi di supporto all'estrazione;129;150;279
10, 11 - Industria alimentare e delle bevande;31.449;74;31.523
13 - Industria tessile;18.506;26;18.532
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;220;-;220
15 - Fabbricazione di articoli in pelle e simili;47;-;47
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;9.032;10;9.042
17 - Fabbricazione di carta e di prodotti in carta;1.108;1;1.109
18 - Stampa e riproduzione di supporti registrati;992;59;1.051
19 - Raffinerie petrolio, fabbricazione coke;8;5;13
20 - Fabbricazione di prodotti chimici;2.652;10.973;13.625
21 - Fabbricazione di prodotti farmaceutici di base e preparati;2.447;956;3.403
22 - Industria gomma e materie plastiche;2.369;84;2.453
23 - Industria minerali non metalliferi;4.119;82;4.201
24 - Industria metallurgica;12.993;12.642;25.635
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);39.453;286;39.739
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;8;-;8
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;195;80;275
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;7.737;1.274;9.011
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;10.574;1.406;11.980
31 - Fabbricazione di mobili;1.700;99;1.799
32 - Altre industrie manifatturiere;-;1;1
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;144;231;375
35 - Fornitura di energia elettrica, gas, vapore e aria;201;1.300;1.501
36 - Raccolta, trattamento e fornitura di acqua;3.088;3;3.091
37 - Gestione delle reti fognarie;7.373;68;7.441
38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;300.675;21.403;322.078
39 - Attività di risanamento e altri servizi di gestione dei rifiuti;5.192;165;5.357
41, 42, 43 - Costruzioni;706.971;1.756;708.727
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;2.604;13.655;16.259
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);2.261;38;2.299
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);63;17;80
49 - Trasporto terrestre e trasporto mediante condotte;375;234;609
50 - Trasporto marittimo e per vie d'acqua;2;-;2
52 - Magazzinaggio e attività di supporto ai trasporti;5.010;491;5.501
55 - Alloggio;289;2;291
56 - Attività dei servizi di ristorazione;7;-;7
58 - Attività editoriali;2;-;2
59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;3;-;3
60 - Attività di programmazione e trasmissione;4;-;4
61 - Telecomunicazioni;16;5;21
63 - Attività dei servizi d'informazione e altri servizi informatici;102;-;102
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione);4;2;6
66 - Attività ausiliarie dei servizi finanziari e delle attività assicurative;-;5;5
68 - Attività immobiliari;16;-;16
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;275;12;287
72 - Ricerca scientifica e sviluppo;25;3;28
74 - Altre attività professionali, scientifiche e tecniche;102;2;104
75 - Servizi veterinari;-;16;16
77 - Attività di noleggio e leasing operativo;-;1;1
81 - Attività di servizi per edifici e paesaggio;210;2;212
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;2.911;1.564;4.475
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;15;7;22
85 - Istruzione;-;1;1
86, 87, 88 - Pubblica amministrazione, istruzione e sanità;194;1.181;1.375
94 - Attività di organizzazioni associative;23;-;23
96 - Altre attività di servizi per la persona;237;6;243
Totale;2.176.201;137.838;2.314.039
