Descrizione attività;RS NP (t);RS P (t);Totale (t)
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;1.038;133;1.171
06 - Estrazione di petrolio greggio e di gas naturale;15.568;562;16.130
08 - Altre attività di estrazione di minerali da cave e miniere;3;6;9
10, 11 - Industria alimentare e delle bevande;58.634;16;58.650
13 - Industria tessile;526;-;526
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;513;-;513
15 - Fabbricazione di articoli in pelle e simili;199;-;199
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;3.352;13;3.365
17 - Fabbricazione di carta e di prodotti in carta;535;1;536
18 - Stampa e riproduzione di supporti registrati;2.785;58;2.843
19 - Raffinerie petrolio, fabbricazione coke;52;14;66
20 - Fabbricazione di prodotti chimici;10.580;94;10.674
22 - Industria gomma e materie plastiche;915;271;1.186
23 - Industria minerali non metalliferi;8.377;37;8.414
24 - Industria metallurgica;4.943;4.374;9.317
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);11.193;424;11.617
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;148;10;158
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;108;39;147
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;4.402;195;4.597
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;1;1;2
30 - Fabbricazione di altri mezzi di trasporto;1.030;39;1.069
31 - Fabbricazione di mobili;184;9;193
32 - Altre industrie manifatturiere;3;-;3
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;1.014;131;1.145
35 - Fornitura di energia elettrica, gas, vapore e aria;47.200;1.238;48.438
36 - Raccolta, trattamento e fornitura di acqua;6.030;11;6.041
37 - Gestione delle reti fognarie;63.419;19;63.438
38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;1.031.882;113.572;1.145.454
39 - Attività di risanamento e altri servizi di gestione dei rifiuti;16.801;9.388;26.189
41, 42, 43 - Costruzioni;696.339;1.722;698.061
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;19.456;43.515;62.971
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);9.204;329;9.533
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);5.609;163;5.772
49 - Trasporto terrestre e trasporto mediante condotte;3.744;686;4.430
50 - Trasporto marittimo e per vie d'acqua;-;2;2
51 - Trasporto aereo;-;1;1
52 - Magazzinaggio e attività di supporto ai trasporti;1.252;2.211;3.463
55 - Alloggio;258;2;260
56 - Attività dei servizi di ristorazione;163;10;173
58 - Attività editoriali;375;2;377
59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;1;-;1
60 - Attività di programmazione e trasmissione;5;-;5
61 - Telecomunicazioni;41;49;90
62 - Produzione di software, consulenza informatica e attività connesse;7;-;7
63 - Attività dei servizi d'informazione e altri servizi informatici;3;-;3
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione);6;7;13
68 - Attività immobiliari;50;-;50
70 - Attività di direzione aziendale e di consulenza gestionale;-;39;39
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;104;11;115
72 - Ricerca scientifica e sviluppo;19;1;20
73 - Pubblicità e ricerche di mercato;77;1;78
74 - Altre attività professionali, scientifiche e tecniche;-;1;1
77 - Attività di noleggio e leasing operativo;9;3;12
81 - Attività di servizi per edifici e paesaggio;21;13;34
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;817;214;1.031
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;569;52;621
85 - Istruzione;-;14;14
86, 87, 88 - Pubblica amministrazione, istruzione e sanità;478;2.132;2.610
93 - Attività sportive, di intrattenimento e di divertimento;65;-;65
96 - Altre attività di servizi per la persona;120;18;138
ND - Attività ISTAT non determinata;4;-;4
Totale;2.030.231;181.853;2.212.084
