Capitolo dell'Elenco;Descrizione;RS NP (t);RS P (t);Totale (t)
ND;Attività ISTAT non determinata;4;-;4
01;Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali;5.682;-;5.682
02;Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;55.619;-;55.619
03;Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;2.375;10;2.385
04;Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;636;-;636
05;Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;-;114;114
06;Rifiuti dei processi chimici inorganici;8.775;13;8.788
07;Rifiuti dei processi chimici organici;702;75;777
08;Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;735;105;840
09;Rifiuti dell'industria fotografica;10;27;37
10;Rifiuti provenienti da processi termici;49.943;4.349;54.292
11;Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;871;14;885
12;Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;11.283;558;11.841
13;Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);-;5.096;5.096
14;Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);-;11;11
15;Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;20.731;887;21.618
16;Rifiuti non specificati altrimenti nell'elenco;134.890;47.643;182.533
17;Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);691.057;8.276;699.333
18;Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);503;2.188;2.691
19;Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;1.032.414;110.958;1.143.372
20;Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata;14.001;1.529;15.530
Totale;Totale;2.030.231;181.853;2.212.084
