Descrizione attività;RS NP (t);RS P (t);Totale (t)
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;11.510;331;11.841
03 - Pesca e acquacoltura;127;6;133
08 - Altre attività di estrazione di minerali da cave e miniere;111;28;139
10, 11 - Industria alimentare e delle bevande;267.442;928;268.370
12 - Industria del tabacco;443;26;469
13 - Industria tessile;6.613;24;6.637
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;9.479;20;9.499
15 - Fabbricazione di articoli in pelle e simili;26.218;431;26.649
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;42.269;313;42.582
17 - Fabbricazione di carta e di prodotti in carta;80.775;2.501;83.276
18 - Stampa e riproduzione di supporti registrati;11.796;1.056;12.852
19 - Raffinerie petrolio, fabbricazione coke;694;16.792;17.486
20 - Fabbricazione di prodotti chimici;8.982;3.629;12.611
21 - Fabbricazione di prodotti farmaceutici di base e preparati;2.967;763;3.730
22 - Industria gomma e materie plastiche;31.327;3.534;34.861
23 - Industria minerali non metalliferi;17.502;326;17.828
24 - Industria metallurgica;38.343;16.086;54.429
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);124.865;12.141;137.006
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;1.907;105;2.012
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;6.678;975;7.653
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;8.713;1.264;9.977
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;35.106;4.010;39.116
30 - Fabbricazione di altri mezzi di trasporto;30.386;6.246;36.632
31 - Fabbricazione di mobili;2.773;41;2.814
32 - Altre industrie manifatturiere;559;32;591
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;12.127;2.373;14.500
35 - Fornitura di energia elettrica, gas, vapore e aria;59.142;4.601;63.743
36 - Raccolta, trattamento e fornitura di acqua;14.304;322;14.626
37 - Gestione delle reti fognarie;209.821;26.549;236.370
38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;2.682.031;73.539;2.755.570
39 - Attività di risanamento e altri servizi di gestione dei rifiuti;12.026;6.286;18.312
41, 42, 43 - Costruzioni;4.099.416;6.552;4.105.968
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;46.994;157.087;204.081
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);74.504;1.822;76.326
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);12.919;1.092;14.011
49 - Trasporto terrestre e trasporto mediante condotte;13.655;4.271;17.926
50 - Trasporto marittimo e per vie d'acqua;344;737;1.081
51 - Trasporto aereo;15;4;19
52 - Magazzinaggio e attività di supporto ai trasporti;12.037;5.817;17.854
53 - Servizi postali e attività di corriere;2;1;3
55 - Alloggio;3.153;26;3.179
56 - Attività dei servizi di ristorazione;3.013;9;3.022
58 - Attività editoriali;2;1;3
59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;27;7;34
60 - Attività di programmazione e trasmissione;190;6;196
61 - Telecomunicazioni;275;98;373
62 - Produzione di software, consulenza informatica e attività connesse;109;15;124
63 - Attività dei servizi d'informazione e altri servizi informatici;77;-;77
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione);19;6;25
68 - Attività immobiliari;5.384;60;5.444
69 - Attività legali e contabilità;15;-;15
70 - Attività di direzione aziendale e di consulenza gestionale;129;132;261
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;341;1.144;1.485
72 - Ricerca scientifica e sviluppo;421;195;616
73 - Pubblicità e ricerche di mercato;61;1;62
74 - Altre attività professionali, scientifiche e tecniche;128;162;290
75 - Servizi veterinari;-;7;7
77 - Attività di noleggio e leasing operativo;267;179;446
79 - Attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse;4;6;10
80 - Servizi di vigilanza e investigazione;8;1;9
81 - Attività di servizi per edifici e paesaggio;4.448;512;4.960
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;9.688;1.554;11.242
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;4.146;2.475;6.621
85 - Istruzione;82;268;350
86, 87, 88 - Pubblica amministrazione, istruzione e sanità;2.989;11.474;14.463
90 - Attività creative, artistiche e di intrattenimento;14;-;14
91 - Attività di biblioteche, archivi, musei ed altre attività culturali;9;-;9
92 - Attività riguardanti le lotterie, le scommesse, le case da gioco;21;1;22
93 - Attività sportive, di intrattenimento e di divertimento;925;2;927
94 - Attività di organizzazioni associative;297;6;303
95 - Riparazione di computer e di beni per uso personale e per la casa;24;9;33
96 - Altre attività di servizi per la persona;1.232;69;1.301
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;1;-;1
99 - Organizzazioni ed organismi extraterritoriali;115;5;120
ND - Attività ISTAT non determinata;1.027;98;1.125
Totale;8.055.563;381.189;8.436.752
