Capitolo dell'Elenco;Descrizione;RS NP (t);RS P (t);Totale (t)
ND;Attività ISTAT non determinata;1.027;98;1.125
01;Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali;5.422;-;5.422
02;Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;233.687;2;233.689
03;Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;32.918;462;33.380
04;Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;39.864;25;39.889
05;Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;-;1.193;1.193
06;Rifiuti dei processi chimici inorganici;1.472;4.945;6.417
07;Rifiuti dei processi chimici organici;13.522;4.704;18.226
08;Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;11.085;6.490;17.575
09;Rifiuti dell'industria fotografica;232;389;621
10;Rifiuti provenienti da processi termici;41.227;12.466;53.693
11;Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;4.901;8.018;12.919
12;Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;141.302;6.031;147.333
13;Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);-;33.609;33.609
14;Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);-;785;785
15;Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;254.030;8.867;262.897
16;Rifiuti non specificati altrimenti nell'elenco;322.506;171.049;493.555
17;Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);4.077.754;29.571;4.107.325
18;Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);1.418;13.575;14.993
19;Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;2.778.986;78.395;2.857.381
20;Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata;94.210;515;94.725
Totale;Totale;8.055.563;381.189;8.436.752
