Descrizione attività;RS NP (t);RS P (t);Totale (t)
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;1.850;297;2.147
02 - Silvicoltura ed utilizzo di aree forestali;10;6;16
03 - Pesca e acquacoltura;29;4;33
08 - Altre attività di estrazione di minerali da cave e miniere;196;39;235
10, 11 - Industria alimentare e delle bevande;58.083;289;58.372
13 - Industria tessile;4.769;89;4.858
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;399;-;399
15 - Fabbricazione di articoli in pelle e simili;3.641;31;3.672
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;199.010;431;199.441
17 - Fabbricazione di carta e di prodotti in carta;48.975;411;49.386
18 - Stampa e riproduzione di supporti registrati;6.160;832;6.992
19 - Raffinerie petrolio, fabbricazione coke;465;222;687
20 - Fabbricazione di prodotti chimici;5.653;10.256;15.909
21 - Fabbricazione di prodotti farmaceutici di base e preparati;2.490;12.231;14.721
22 - Industria gomma e materie plastiche;34.830;3.617;38.447
23 - Industria minerali non metalliferi;47.528;949;48.477
24 - Industria metallurgica;360.042;78.798;438.840
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);127.448;22.249;149.697
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;1.275;592;1.867
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;20.162;984;21.146
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;30.655;4.488;35.143
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;1.862;184;2.046
30 - Fabbricazione di altri mezzi di trasporto;20.103;11.566;31.669
31 - Fabbricazione di mobili;126.454;3.155;129.609
32 - Altre industrie manifatturiere;1.742;368;2.110
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;8.267;2.183;10.450
35 - Fornitura di energia elettrica, gas, vapore e aria;5.984;827;6.811
36 - Raccolta, trattamento e fornitura di acqua;51.943;18;51.961
37 - Gestione delle reti fognarie;55.787;114;55.901
38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;730.769;54.196;784.965
39 - Attività di risanamento e altri servizi di gestione dei rifiuti;875;2.169;3.044
41, 42, 43 - Costruzioni;1.887.683;7.272;1.894.955
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;10.521;39.108;49.629
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);23.221;745;23.966
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);6.999;416;7.415
49 - Trasporto terrestre e trasporto mediante condotte;35.125;1.329;36.454
50 - Trasporto marittimo e per vie d'acqua;7;24;31
51 - Trasporto aereo;6;4;10
52 - Magazzinaggio e attività di supporto ai trasporti;10.325;3.048;13.373
55 - Alloggio;177;9;186
56 - Attività dei servizi di ristorazione;981;15;996
59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;3;-;3
60 - Attività di programmazione e trasmissione;9;1;10
61 - Telecomunicazioni;31;29;60
62 - Produzione di software, consulenza informatica e attività connesse;38;28;66
63 - Attività dei servizi d'informazione e altri servizi informatici;4;2;6
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione);1;-;1
66 - Attività ausiliarie dei servizi finanziari e delle attività assicurative;2;1;3
68 - Attività immobiliari;155;7;162
69 - Attività legali e contabilità;1;-;1
70 - Attività di direzione aziendale e di consulenza gestionale;68;-;68
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;657;77;734
72 - Ricerca scientifica e sviluppo;40;47;87
73 - Pubblicità e ricerche di mercato;17;1;18
74 - Altre attività professionali, scientifiche e tecniche;107;192;299
75 - Servizi veterinari;-;2;2
77 - Attività di noleggio e leasing operativo;130;74;204
78 - Attività di ricerca, selezione, fornitura di personale;2;-;2
80 - Servizi di vigilanza e investigazione;3;1;4
81 - Attività di servizi per edifici e paesaggio;2.826;192;3.018
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;7.188;16;7.204
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;3.231;372;3.603
85 - Istruzione;178;60;238
86, 87, 88 - Pubblica amministrazione, istruzione e sanità;317;5.130;5.447
90 - Attività creative, artistiche e di intrattenimento;6;-;6
91 - Attività di biblioteche, archivi, musei ed altre attività culturali;153;-;153
92 - Attività riguardanti le lotterie, le scommesse, le case da gioco;2;-;2
93 - Attività sportive, di intrattenimento e di divertimento;491;3;494
94 - Attività di organizzazioni associative;257;17;274
95 - Riparazione di computer e di beni per uso personale e per la casa;133;2;135
96 - Altre attività di servizi per la persona;302;48;350
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;9;2;11
ND - Attività ISTAT non determinata;-;4;4
Totale;3.948.862;269.873;4.218.735
