Descrizione attività;RS NP (t);RS P (t);Totale (t)
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;6.144;227;6.371
02 - Silvicoltura ed utilizzo di aree forestali;28;1;29
03 - Pesca e acquacoltura;30;8;38
05 - Estrazione di carbone (esclusa torba);6;3;9
07 - Estrazione di minerali metalliferi;238;1;239
08 - Altre attività di estrazione di minerali da cave e miniere;17.642;71;17.713
09 - Attività dei servizi di supporto all'estrazione;1.369;12;1.381
10, 11 - Industria alimentare e delle bevande;149.421;685;150.106
12 - Industria del tabacco;98;3;101
13 - Industria tessile;6.272;350;6.622
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;2.436;3;2.439
15 - Fabbricazione di articoli in pelle e simili;1.102;4;1.106
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;9.640;93;9.733
17 - Fabbricazione di carta e di prodotti in carta;83.953;609;84.562
18 - Stampa e riproduzione di supporti registrati;27.467;1.548;29.015
19 - Raffinerie petrolio, fabbricazione coke;1.713;23.437;25.150
20 - Fabbricazione di prodotti chimici;40.974;21.404;62.378
21 - Fabbricazione di prodotti farmaceutici di base e preparati;24.326;23.654;47.980
22 - Industria gomma e materie plastiche;18.214;1.443;19.657
23 - Industria minerali non metalliferi;84.900;1.720;86.620
24 - Industria metallurgica;25.882;11.365;37.247
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);41.602;3.667;45.269
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;2.025;422;2.447
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;2.184;388;2.572
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;26.807;2.609;29.416
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;18.062;1.661;19.723
30 - Fabbricazione di altri mezzi di trasporto;2.611;1.228;3.839
31 - Fabbricazione di mobili;2.206;168;2.374
32 - Altre industrie manifatturiere;1.308;3.105;4.413
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;4.536;1.274;5.810
35 - Fornitura di energia elettrica, gas, vapore e aria;287.817;69.705;357.522
36 - Raccolta, trattamento e fornitura di acqua;25.307;22;25.329
37 - Gestione delle reti fognarie;549.680;277;549.957
38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;2.514.347;145.298;2.659.645
39 - Attività di risanamento e altri servizi di gestione dei rifiuti;72.197;4.347;76.544
41, 42, 43 - Costruzioni;5.127.570;10.171;5.137.741
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;58.012;143.357;201.369
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);293.133;3.967;297.100
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);14.256;2.814;17.070
49 - Trasporto terrestre e trasporto mediante condotte;20.074;1.125;21.199
50 - Trasporto marittimo e per vie d'acqua;3;10;13
51 - Trasporto aereo;825;148;973
52 - Magazzinaggio e attività di supporto ai trasporti;25.772;4.190;29.962
53 - Servizi postali e attività di corriere;23;-;23
55 - Alloggio;3.859;59;3.918
56 - Attività dei servizi di ristorazione;4.628;14;4.642
58 - Attività editoriali;709;21;730
59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;221;8;229
60 - Attività di programmazione e trasmissione;530;5;535
61 - Telecomunicazioni;490;80;570
62 - Produzione di software, consulenza informatica e attività connesse;628;29;657
63 - Attività dei servizi d'informazione e altri servizi informatici;697;12;709
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione);278;145;423
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);79;1;80
66 - Attività ausiliarie dei servizi finanziari e delle attività assicurative;56;5;61
68 - Attività immobiliari;1.959;433;2.392
69 - Attività legali e contabilità;141;142;283
70 - Attività di direzione aziendale e di consulenza gestionale;1.536;50;1.586
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;531;217;748
72 - Ricerca scientifica e sviluppo;754;548;1.302
73 - Pubblicità e ricerche di mercato;260;6;266
74 - Altre attività professionali, scientifiche e tecniche;289;100;389
75 - Servizi veterinari;48;44;92
77 - Attività di noleggio e leasing operativo;2.121;174;2.295
79 - Attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse;30;1;31
80 - Servizi di vigilanza e investigazione;758;5;763
81 - Attività di servizi per edifici e paesaggio;14.977;1.649;16.626
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;11.524;97;11.621
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;5.499;1.931;7.430
85 - Istruzione;186;175;361
86, 87, 88 - Pubblica amministrazione, istruzione e sanità;2.034;20.380;22.414
90 - Attività creative, artistiche e di intrattenimento;407;4;411
91 - Attività di biblioteche, archivi, musei ed altre attività culturali;519;4;523
92 - Attività riguardanti le lotterie, le scommesse, le case da gioco;259;128;387
93 - Attività sportive, di intrattenimento e di divertimento;292;29;321
94 - Attività di organizzazioni associative;183;28;211
95 - Riparazione di computer e di beni per uso personale e per la casa;299;5;304
96 - Altre attività di servizi per la persona;1.985;181;2.166
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze;2;-;2
99 - Organizzazioni ed organismi extraterritoriali;108;30;138
ND - Attività ISTAT non determinata;26;4;30
Totale;9.651.114;513.338;10.164.452
