Capitolo dell'Elenco;Descrizione;RS NP (t);RS P (t);Totale (t)
ND;Attività ISTAT non determinata;26;4.0;30
01;Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali;409.827;532.0;410.359
02;Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;141.853;7.0;141.860
03;Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;76.356;518.0;76.874
04;Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;3.865;12.0;3.877
05;Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;2;250.0;252
06;Rifiuti dei processi chimici inorganici;5.854;2.564;8.418
07;Rifiuti dei processi chimici organici;17.338;42.361;59.699
08;Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;16.514;2.417;18.931
09;Rifiuti dell'industria fotografica;88;1.016;1.104
10;Rifiuti provenienti da processi termici;309.305;8.401;317.706
11;Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;2.093;2.989;5.082
12;Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;52.038;2.971;55.009
13;Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);-;59.184;59.184
14;Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);-;676.0;676
15;Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;207.317;9.878;217.195
16;Rifiuti non specificati altrimenti nell'elenco;392.804;166.086;558.890
17;Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);4.686.154;24.322;4.710.476
18;Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);2.029;24.17;26.199
19;Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;3.107.586;164.251;3.271.837
20;Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata;220.065;729.0;220.794
Totale;Totale;9.651.114;513.338;10.164.452
