Capitolo dell'Elenco;Descrizione;RS NP (t);RS P (t);Totale (t)
01;Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali;33.829;-;33.829
02;Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;60.285;-;60.285
03;Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;2.555;178;2.733
04;Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;701;-;701
05;Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;78;899;977
06;Rifiuti dei processi chimici inorganici;2.573;2.154;4.727
07;Rifiuti dei processi chimici organici;4.719;8.318;13.037
08;Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;951;889;1.840
09;Rifiuti dell'industria fotografica;10;138;148
10;Rifiuti provenienti da processi termici;76.505;1.322;77.827
11;Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;613;2.547;3.160
12;Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;28.533;10.761;39.294
13;Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);-;62.170;62.170
14;Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);-;170;170
15;Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;39.717;4.396;44.113
16;Rifiuti non specificati altrimenti nell'elenco;127.183;55.805;182.988
17;Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);1.403.662;25.656;1.429.318
18;Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);119;4.772;4.891
19;Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;820.152;4.656;824.808
20;Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata;47.292;100;47.392
Totale;Totale;2.649.477;184.931;2.834.408
