Descrizione attività;RS NP (t);RS P (t);Totale (t)
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;8.290;181;8.471
03 - Pesca e acquacoltura;146;875;1.021
06 - Estrazione di petrolio greggio e di gas naturale;20.267;4.316;24.583
08 - Altre attività di estrazione di minerali da cave e miniere;1.722;13;1.735
09 - Attività dei servizi di supporto all'estrazione;91;3;94
10, 11 - Industria alimentare e delle bevande;82.177;46;82.223
12 - Industria del tabacco;372;3;375
13 - Industria tessile;3.621;12;3.633
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;5.868;11;5.879
15 - Fabbricazione di articoli in pelle e simili;33.757;179;33.936
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;39.143;898;40.041
17 - Fabbricazione di carta e di prodotti in carta;66.399;713;67.112
18 - Stampa e riproduzione di supporti registrati;9.785;452;10.237
19 - Raffinerie petrolio, fabbricazione coke;325;1.443;1.768
20 - Fabbricazione di prodotti chimici;5.362;4.868;10.230
21 - Fabbricazione di prodotti farmaceutici di base e preparati;2.408;534;2.942
22 - Industria gomma e materie plastiche;33.647;2.611;36.258
23 - Industria minerali non metalliferi;24.636;170;24.806
24 - Industria metallurgica;74.231;2.660;76.891
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);114.531;15.742;130.273
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;3.193;427;3.620
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;20.014;1.535;21.549
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;27.297;1.754;29.051
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;2.978;341;3.319
30 - Fabbricazione di altri mezzi di trasporto;4.659;2.151;6.810
31 - Fabbricazione di mobili;126.742;1.291;128.033
32 - Altre industrie manifatturiere;4.710;316;5.026
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;1.733;1.319;3.052
35 - Fornitura di energia elettrica, gas, vapore e aria;8.516;353;8.869
36 - Raccolta, trattamento e fornitura di acqua;10.843;10;10.853
37 - Gestione delle reti fognarie;119.802;10.297;130.099
38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;842.743;46.306;889.049
39 - Attività di risanamento e altri servizi di gestione dei rifiuti;9.615;851;10.466
41, 42, 43 - Costruzioni;1.780.709;5.222;1.785.931
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;18.197;51.227;69.424
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);48.091;2.217;50.308
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);1.576;405;1.981
49 - Trasporto terrestre e trasporto mediante condotte;5.080;338;5.418
50 - Trasporto marittimo e per vie d'acqua;122;84;206
52 - Magazzinaggio e attività di supporto ai trasporti;2.345;872;3.217
55 - Alloggio;18;1;19
56 - Attività dei servizi di ristorazione;302;35;337
58 - Attività editoriali;498;5;503
60 - Attività di programmazione e trasmissione;1;1;2
61 - Telecomunicazioni;50;71;121
62 - Produzione di software, consulenza informatica e attività connesse;88;3;91
63 - Attività dei servizi d'informazione e altri servizi informatici;81;2;83
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione);15;-;15
68 - Attività immobiliari;101;7;108
69 - Attività legali e contabilità;2;-;2
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;457;128;585
72 - Ricerca scientifica e sviluppo;11;9;20
73 - Pubblicità e ricerche di mercato;689;10;699
74 - Altre attività professionali, scientifiche e tecniche;743;13;756
75 - Servizi veterinari;7;40;47
77 - Attività di noleggio e leasing operativo;1.133;110;1.243
81 - Attività di servizi per edifici e paesaggio;967;30;997
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;1.117;25;1.142
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;433;30;463
85 - Istruzione;170;61;231
86, 87, 88 - Pubblica amministrazione, istruzione e sanità;2.743;3.910;6.653
90 - Attività creative, artistiche e di intrattenimento;105;1;106
92 - Attività riguardanti le lotterie, le scommesse, le case da gioco;27;2;29
93 - Attività sportive, di intrattenimento e di divertimento;10;1;11
94 - Attività di organizzazioni associative;-;1;1
95 - Riparazione di computer e di beni per uso personale e per la casa;264;14;278
96 - Altre attività di servizi per la persona;223;47;270
99 - Organizzazioni ed organismi extraterritoriali;4;1;5
ND - Attività ISTAT non determinata;84;6;90
Totale;3.576.086;167.610;3.743.696
