Descrizione attività;RS NP (t);RS P (t);Totale (t)
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;71;69;140.0
06 - Estrazione di petrolio greggio e di gas naturale;4.181;56;4.237
07 - Estrazione di minerali metalliferi;124;2;126.0
08 - Altre attività di estrazione di minerali da cave e miniere;3;10;13.0
10, 11 - Industria alimentare e delle bevande;17.804;26;17.83
13 - Industria tessile;986;2;988.0
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;229;-;229.0
15 - Fabbricazione di articoli in pelle e simili;69;-;69.0
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;602;7;609.0
17 - Fabbricazione di carta e di prodotti in carta;443;3;446.0
18 - Stampa e riproduzione di supporti registrati;393;13;406.0
20 - Fabbricazione di prodotti chimici;3.771;12.378;16.149
21 - Fabbricazione di prodotti farmaceutici di base e preparati;1.376;11.797;13.173
22 - Industria gomma e materie plastiche;3.786;179;3.965
23 - Industria minerali non metalliferi;1.914;101;2.015
24 - Industria metallurgica;1.084;49;1.133
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);4.600;299;4.899
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;8;4;12.0
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;468;16;484.0
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;319;94;413.0
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;12.408;2.319;14.727
31 - Fabbricazione di mobili;111;39;150.0
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;169;261;430.0
35 - Fornitura di energia elettrica, gas, vapore e aria;13.771;1.210;14.981
36 - Raccolta, trattamento e fornitura di acqua;721;30;751.0
37 - Gestione delle reti fognarie;12.760;-;12.76
38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;175.918;4.278;180.196
39 - Attività di risanamento e altri servizi di gestione dei rifiuti;290;320;610.0
41, 42, 43 - Costruzioni;293.694;116;293.81
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;3.938;6.456;10.394
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);1.141;20;1.161
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);627;26;653.0
49 - Trasporto terrestre e trasporto mediante condotte;485;333;818.0
50 - Trasporto marittimo e per vie d'acqua;3;6;9.0
52 - Magazzinaggio e attività di supporto ai trasporti;83;7;90.0
55 - Alloggio;17;-;17.0
56 - Attività dei servizi di ristorazione;11;-;11.0
61 - Telecomunicazioni;5;2;7.0
68 - Attività immobiliari;39;-;39.0
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;1;1;2.0
72 - Ricerca scientifica e sviluppo;5;-;5.0
75 - Servizi veterinari;18;7;25.0
81 - Attività di servizi per edifici e paesaggio;364;13;377.0
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;6;2;8.0
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;826;6;832.0
85 - Istruzione;-;5;5.0
86, 87, 88 - Pubblica amministrazione, istruzione e sanità;72;1.291;1.363
96 - Altre attività di servizi per la persona;146;6;152.0
Totale;559.860;41.859;601.719
