Capitolo dell'Elenco;Descrizione;RS NP (t);RS P (t);Totale (t)
01;Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali;120;-;120.0
02;Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;16.282;-;16.282
03;Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;462;152;614.0
04;Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;334;-;334.0
05;Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;-;32;32.0
06;Rifiuti dei processi chimici inorganici;40;4.432;4.472
07;Rifiuti dei processi chimici organici;3.518;18.138;21.656
08;Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;261;151;412.0
09;Rifiuti dell'industria fotografica;21;2;23.0
10;Rifiuti provenienti da processi termici;12.794;-;12.794
11;Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;110;85;195.0
12;Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;14.874;488;15.362
13;Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);-;1.118;1.118
14;Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);-;48;48.0
15;Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;14.192;1.208;15.4
16;Rifiuti non specificati altrimenti nell'elenco;17.390;10.153;27.543
17;Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);293.475;562;294.037
18;Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);28;1.297;1.325
19;Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;183.091;3.766;186.857
20;Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata;2.868;227;3.095
Totale;Totale;559.860;41.859;601.719
