Capitolo dell'Elenco;Descrizione;RS NP (t);RS P (t);Totale (t)
01;Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali;57.894;-;57.894
02;Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;242.943;12;242.955
03;Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;118.735;10.746;129.481
04;Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;28.806;55;28.861
05;Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;1.002;1.988;2.990
06;Rifiuti dei processi chimici inorganici;128.835;5.992;134.827
07;Rifiuti dei processi chimici organici;52.559;88.412;140.971
08;Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;20.950;10.241;31.191
09;Rifiuti dell'industria fotografica;44;888;932
10;Rifiuti provenienti da processi termici;184.399;42.458;226.857
11;Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;12.760;23.548;36.308
12;Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;645.789;91.958;737.747
13;Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);-;55.422;55.422
14;Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);-;8.430;8.430
15;Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;411.742;28.254;439.996
16;Rifiuti non specificati altrimenti nell'elenco;372.762;209.074;581.836
17;Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);5.987.254;154.041;6.141.295
18;Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);223;11.633;11.856
19;Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;2.374.517;347.132;2.721.649
20;Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata;164.006;1.368;165.374
Totale;Totale;10.805.220;1.091.652;11.896.872
