Descrizione attività;RS NP (t);RS P (t);Totale (t)
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;564;64;628
02 - Silvicoltura ed utilizzo di aree forestali;-;1;1
03 - Pesca e acquacoltura;1.049;1;1.050
06 - Estrazione di petrolio greggio e di gas naturale;-;2;2
08 - Altre attività di estrazione di minerali da cave e miniere;351;233;584
09 - Attività dei servizi di supporto all'estrazione;-;4;4
10, 11 - Industria alimentare e delle bevande;68.640;67;68.707
13 - Industria tessile;594;3;597
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;251;-;251
15 - Fabbricazione di articoli in pelle e simili;276;1;277
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;4.302;76;4.378
17 - Fabbricazione di carta e di prodotti in carta;2.007;27;2.034
18 - Stampa e riproduzione di supporti registrati;2.149;27;2.176
19 - Raffinerie petrolio, fabbricazione coke;3.019;45.327;48.346
20 - Fabbricazione di prodotti chimici;2.070;3.681;5.751
22 - Industria gomma e materie plastiche;2.730;18;2.748
23 - Industria minerali non metalliferi;11.991;285;12.276
24 - Industria metallurgica;154.680;122.672;277.352
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);8.232;410;8.642
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;220;112;332
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;176;5;181
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;778;146;924
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;4;5;9
30 - Fabbricazione di altri mezzi di trasporto;2.278;355;2.633
31 - Fabbricazione di mobili;2;5;7
32 - Altre industrie manifatturiere;4;7;11
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;655;732;1.387
35 - Fornitura di energia elettrica, gas, vapore e aria;286.011;2.173;288.184
36 - Raccolta, trattamento e fornitura di acqua;40.626;755;41.381
37 - Gestione delle reti fognarie;91.342;30;91.372
38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;555.062;41.581;596.643
39 - Attività di risanamento e altri servizi di gestione dei rifiuti;51.415;41.523;92.938
41, 42, 43 - Costruzioni;1.374.763;16.114;1.390.877
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;14.113;47.977;62.090
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);6.960;379;7.339
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);2.208;139;2.347
49 - Trasporto terrestre e trasporto mediante condotte;22.270;661;22.931
50 - Trasporto marittimo e per vie d'acqua;5;328;333
51 - Trasporto aereo;122;41;163
52 - Magazzinaggio e attività di supporto ai trasporti;2.495;1.291;3.786
53 - Servizi postali e attività di corriere;10;-;10
55 - Alloggio;8.891;15;8.906
56 - Attività dei servizi di ristorazione;74;22;96
58 - Attività editoriali;98;4;102
59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;4;-;4
61 - Telecomunicazioni;47;64;111
62 - Produzione di software, consulenza informatica e attività connesse;1;-;1
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione);4;-;4
66 - Attività ausiliarie dei servizi finanziari e delle attività assicurative;-;1;1
68 - Attività immobiliari;1;-;1
70 - Attività di direzione aziendale e di consulenza gestionale;9;-;9
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;413;532;945
72 - Ricerca scientifica e sviluppo;81;31;112
74 - Altre attività professionali, scientifiche e tecniche;38;6;44
75 - Servizi veterinari;-;3;3
77 - Attività di noleggio e leasing operativo;4;43;47
79 - Attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse;32;2;34
80 - Servizi di vigilanza e investigazione;-;1;1
81 - Attività di servizi per edifici e paesaggio;3.239;6.801;10.040
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;618;4;622
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;844;773;1.617
85 - Istruzione;59;58;117
86, 87, 88 - Pubblica amministrazione, istruzione e sanità;269;4.410;4.679
90 - Attività creative, artistiche e di intrattenimento;1.082;123;1.205
91 - Attività di biblioteche, archivi, musei ed altre attività culturali;85;-;85
92 - Attività riguardanti le lotterie, le scommesse, le case da gioco;5;5;10
93 - Attività sportive, di intrattenimento e di divertimento;89;9;98
94 - Attività di organizzazioni associative;24;35;59
95 - Riparazione di computer e di beni per uso personale e per la casa;-;17;17
96 - Altre attività di servizi per la persona;234;62;296
Totale;2.730.669;340.279;3.070.948
