Descrizione attività;RS NP (t);RS P (t);Totale (t)
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;6.378;409;6.787
02 - Silvicoltura ed utilizzo di aree forestali;57;10;67
03 - Pesca e acquacoltura;2;58;60
06 - Estrazione di petrolio greggio e di gas naturale;29.377;10.965;40.342
08 - Altre attività di estrazione di minerali da cave e miniere;526;62;588
09 - Attività dei servizi di supporto all'estrazione;8;156;164
10, 11 - Industria alimentare e delle bevande;182.173;108;182.281
13 - Industria tessile;997;-;997
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;812;-;812
15 - Fabbricazione di articoli in pelle e simili;855;1;856
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;6.639;64;6.703
17 - Fabbricazione di carta e di prodotti in carta;6.913;61;6.974
18 - Stampa e riproduzione di supporti registrati;3.403;431;3.834
19 - Raffinerie petrolio, fabbricazione coke;21.106;23.406;44.512
20 - Fabbricazione di prodotti chimici;95.040;9.667;104.707
21 - Fabbricazione di prodotti farmaceutici di base e preparati;1.054;4.793;5.847
22 - Industria gomma e materie plastiche;5.668;530;6.198
23 - Industria minerali non metalliferi;42.372;244;42.616
24 - Industria metallurgica;64.982;7.663;72.645
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);20.623;1.847;22.470
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;3.697;1.092;4.789
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;1.455;471;1.926
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;754;158;912
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;99;54;153
30 - Fabbricazione di altri mezzi di trasporto;2.130;4.531;6.661
31 - Fabbricazione di mobili;580;82;662
32 - Altre industrie manifatturiere;32;10;42
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;3.119;1.967;5.086
35 - Fornitura di energia elettrica, gas, vapore e aria;29.175;4.144;33.319
36 - Raccolta, trattamento e fornitura di acqua;20.715;60;20.775
37 - Gestione delle reti fognarie;35.784;23.240;59.024
38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;2.515.351;84.038;2.599.389
39 - Attività di risanamento e altri servizi di gestione dei rifiuti;11.500;2.814;14.314
41, 42, 43 - Costruzioni;3.816.063;3.457;3.819.520
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;44.041;108.113;152.154
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);26.359;1.545;27.904
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);10.247;608;10.855
49 - Trasporto terrestre e trasporto mediante condotte;11.178;802;11.980
50 - Trasporto marittimo e per vie d'acqua;103;1.025;1.128
51 - Trasporto aereo;186;7;193
52 - Magazzinaggio e attività di supporto ai trasporti;2.402;16.325;18.727
53 - Servizi postali e attività di corriere;140;-;140
55 - Alloggio;1.473;42;1.515
56 - Attività dei servizi di ristorazione;355;2;357
58 - Attività editoriali;639;12;651
60 - Attività di programmazione e trasmissione;12;1;13
61 - Telecomunicazioni;56;146;202
62 - Produzione di software, consulenza informatica e attività connesse;10;2;12
63 - Attività dei servizi d'informazione e altri servizi informatici;11;-;11
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione);34;5;39
66 - Attività ausiliarie dei servizi finanziari e delle attività assicurative;2;-;2
68 - Attività immobiliari;346;147;493
69 - Attività legali e contabilità;1;-;1
70 - Attività di direzione aziendale e di consulenza gestionale;1;1;2
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;480;135;615
72 - Ricerca scientifica e sviluppo;17;165;182
73 - Pubblicità e ricerche di mercato;5;2;7
74 - Altre attività professionali, scientifiche e tecniche;2;81;83
75 - Servizi veterinari;-;126;126
77 - Attività di noleggio e leasing operativo;216;63;279
78 - Attività di ricerca, selezione, fornitura di personale;12;8;20
80 - Servizi di vigilanza e investigazione;16;5;21
81 - Attività di servizi per edifici e paesaggio;10.998;988;11.986
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;181;37;218
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;2.382;551;2.933
85 - Istruzione;244;99;343
86, 87, 88 - Pubblica amministrazione, istruzione e sanità;1.038;9.344;10.382
90 - Attività creative, artistiche e di intrattenimento;2.111;47;2.158
91 - Attività di biblioteche, archivi, musei ed altre attività culturali;8;-;8
92 - Attività riguardanti le lotterie, le scommesse, le case da gioco;-;1;1
93 - Attività sportive, di intrattenimento e di divertimento;259;6;265
94 - Attività di organizzazioni associative;88;7;95
95 - Riparazione di computer e di beni per uso personale e per la casa;8;2;10
96 - Altre attività di servizi per la persona;1.089;59;1.148
ND - Attività ISTAT non determinata;9;7;16
Totale;7.046.198;327.109;7.373.307
