Capitolo dell'Elenco;Descrizione;RS NP (t);RS P (t);Totale (t)
ND;Attività ISTAT non determinata;9;7;16
01;Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali;48.036;1.214;49.250
02;Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;185.530;-;185.530
03;Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;6.233;363;6.596
04;Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;1.294;-;1.294
05;Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;1.159;12.551;13.710
06;Rifiuti dei processi chimici inorganici;457;22.057;22.514
07;Rifiuti dei processi chimici organici;3.421;5.917;9.338
08;Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;2.844;1.129;3.973
09;Rifiuti dell'industria fotografica;49;446;495
10;Rifiuti provenienti da processi termici;48.453;8.476;56.929
11;Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;2.024;901;2.925
12;Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;16.992;2.953;19.945
13;Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);-;24.490;24.490
14;Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);-;636;636
15;Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;63.919;3.504;67.423
16;Rifiuti non specificati altrimenti nell'elenco;249.135;157.951;407.086
17;Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);3.806.653;21.908;3.828.561
18;Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);676;9.595;10.271
19;Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;2.566.674;52.000;2.618.674
20;Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata;42.640;1.011;43.651
Totale;Totale;7.046.198;327.109;7.373.307
