Descrizione attività;RS NP (t);RS P (t);Totale (t)
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;4.946;581;5.527
02 - Silvicoltura ed utilizzo di aree forestali;260;60;320
03 - Pesca e acquacoltura;33;1;34
06 - Estrazione di petrolio greggio e di gas naturale;18;6;24
07 - Estrazione di minerali metalliferi;9;21;30
08 - Altre attività di estrazione di minerali da cave e miniere;32.667;255;32.922
10, 11 - Industria alimentare e delle bevande;168.758;903;169.661
12 - Industria del tabacco;773;3;776
13 - Industria tessile;47.878;1.927;49.805
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;25.135;46;25.181
15 - Fabbricazione di articoli in pelle e simili;176.491;3.655;180.146
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;22.750;708;23.458
17 - Fabbricazione di carta e di prodotti in carta;278.018;1.602;279.620
18 - Stampa e riproduzione di supporti registrati;13.661;757;14.418
19 - Raffinerie petrolio, fabbricazione coke;7.921;4.970;12.891
20 - Fabbricazione di prodotti chimici;481.718;15.824;497.542
21 - Fabbricazione di prodotti farmaceutici di base e preparati;14.939;3.401;18.340
22 - Industria gomma e materie plastiche;28.585;2.493;31.078
23 - Industria minerali non metalliferi;214.165;5.197;219.362
24 - Industria metallurgica;110.635;12.246;122.881
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);103.691;22.904;126.595
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;3.451;427;3.878
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;7.241;820;8.061
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;20.952;8.238;29.190
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;16.609;3.207;19.816
30 - Fabbricazione di altri mezzi di trasporto;17.039;2.401;19.440
31 - Fabbricazione di mobili;16.743;867;17.610
32 - Altre industrie manifatturiere;12.672;3.740;16.412
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;9.336;3.446;12.782
35 - Fornitura di energia elettrica, gas, vapore e aria;18.231;5.018;23.249
36 - Raccolta, trattamento e fornitura di acqua;78.044;85;78.129
37 - Gestione delle reti fognarie;380.209;3.330;383.539
38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;2.681.655;197.373;2.879.028
39 - Attività di risanamento e altri servizi di gestione dei rifiuti;24.315;5.195;29.510
41, 42, 43 - Costruzioni;4.325.582;14.890;4.340.472
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;40.879;91.575;132.454
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);142.738;5.666;148.404
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);15.630;2.567;18.197
49 - Trasporto terrestre e trasporto mediante condotte;53.905;1.153;55.058
50 - Trasporto marittimo e per vie d'acqua;31;19;50
51 - Trasporto aereo;-;2;2
52 - Magazzinaggio e attività di supporto ai trasporti;11.191;2.288;13.479
53 - Servizi postali e attività di corriere;18;2;20
55 - Alloggio;3.286;80;3.366
56 - Attività dei servizi di ristorazione;877;45;922
58 - Attività editoriali;2.695;47;2.742
59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;28;3;31
61 - Telecomunicazioni;109;61;170
62 - Produzione di software, consulenza informatica e attività connesse;141;36;177
63 - Attività dei servizi d'informazione e altri servizi informatici;86;1;87
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione);118;7;125
65 - Assicurazioni, riassicurazioni e fondi pensione (escluse le assicurazioni sociali obbligatorie);7;-;7
66 - Attività ausiliarie dei servizi finanziari e delle attività assicurative;-;1;1
68 - Attività immobiliari;396;93;489
69 - Attività legali e contabilità;36;1;37
70 - Attività di direzione aziendale e di consulenza gestionale;268;4;272
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;486;467;953
72 - Ricerca scientifica e sviluppo;2.015;353;2.368
73 - Pubblicità e ricerche di mercato;144;2;146
74 - Altre attività professionali, scientifiche e tecniche;19;162;181
75 - Servizi veterinari;-;73;73
77 - Attività di noleggio e leasing operativo;1.809;276;2.085
80 - Servizi di vigilanza e investigazione;2;3;5
81 - Attività di servizi per edifici e paesaggio;6.490;4.156;10.646
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;2.968;455;3.423
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;4.110;1.611;5.721
85 - Istruzione;1.702;224;1.926
86, 87, 88 - Pubblica amministrazione, istruzione e sanità;1.674;6.885;8.559
90 - Attività creative, artistiche e di intrattenimento;252;9;261
91 - Attività di biblioteche, archivi, musei ed altre attività culturali;110;5;115
92 - Attività riguardanti le lotterie, le scommesse, le case da gioco;5;32;37
93 - Attività sportive, di intrattenimento e di divertimento;248;49;297
94 - Attività di organizzazioni associative;77;14;91
95 - Riparazione di computer e di beni per uso personale e per la casa;249;38;287
96 - Altre attività di servizi per la persona;1.659;147;1.806
99 - Organizzazioni ed organismi extraterritoriali;-;1;1
ND - Attività ISTAT non determinata;10;15;25
Totale;9.641.598;445.225;10.086.823
