Capitolo dell'Elenco;Descrizione;RS NP (t);RS P (t);Totale (t)
01;Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali;91.192;-;91.192
02;Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;103.146;13;103.159
03;Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;60.014;247;60.261
04;Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;883;3;886
06;Rifiuti dei processi chimici inorganici;897;2.787;3.684
07;Rifiuti dei processi chimici organici;13.275;10.615;23.890
08;Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;2.689;2.123;4.812
09;Rifiuti dell'industria fotografica;7;857;864
10;Rifiuti provenienti da processi termici;99.525;7.900;107.425
11;Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;1.502;3.328;4.830
12;Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;57.459;9.779;67.238
13;Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);-;9.986;9.986
14;Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);-;187;187
15;Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;57.115;3.555;60.670
16;Rifiuti non specificati altrimenti nell'elenco;54.658;31.082;85.740
17;Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);3.125.814;11.193;3.137.007
18;Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);204;2.265;2.469
19;Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;856.149;12.051;868.200
20;Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata;52.835;948;53.783
Totale;Totale;4.577.364;108.919;4.686.283
