Descrizione attività;RS NP (t);RS P (t);Totale (t)
01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi;5.910;180;6.090
02 - Silvicoltura ed utilizzo di aree forestali;194;5;199
06 - Estrazione di petrolio greggio e di gas naturale;-;88;88
08 - Altre attività di estrazione di minerali da cave e miniere;8.457;36;8.493
10, 11 - Industria alimentare e delle bevande;61.417;136;61.553
12 - Industria del tabacco;812;1;813
13 - Industria tessile;15.864;2.562;18.426
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia;4.426;18;4.444
15 - Fabbricazione di articoli in pelle e simili;635;7;642
16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio;9.063;171;9.234
17 - Fabbricazione di carta e di prodotti in carta;30.605;198;30.803
18 - Stampa e riproduzione di supporti registrati;7.816;373;8.189
19 - Raffinerie petrolio, fabbricazione coke;4;-;4
20 - Fabbricazione di prodotti chimici;6.916;1.141;8.057
21 - Fabbricazione di prodotti farmaceutici di base e preparati;57;2.734;2.791
22 - Industria gomma e materie plastiche;7.982;617;8.599
23 - Industria minerali non metalliferi;46.909;385;47.294
24 - Industria metallurgica;432.351;91.772;524.123
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature);70.216;2.521;72.737
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi;778;32;810
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche;835;135;970
28 - Fabbricazione di macchinari e apparecchiature n.c.a.;16.499;1.190;17.689
29 - Fabbricazione autoveicoli rimorchi e semirimorchi;2.798;139;2.937
30 - Fabbricazione di altri mezzi di trasporto;53;32;85
31 - Fabbricazione di mobili;5.783;216;5.999
32 - Altre industrie manifatturiere;1.465;73;1.538
33 - Riparazione, manutenzione e installazione macchine e apparecchiature;2.730;797;3.527
35 - Fornitura di energia elettrica, gas, vapore e aria;16.293;10.950;27.243
36 - Raccolta, trattamento e fornitura di acqua;162;4;166
37 - Gestione delle reti fognarie;47.742;98;47.840
38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali;518.128;1.178;519.306
39 - Attività di risanamento e altri servizi di gestione dei rifiuti;734;4.171;4.905
41, 42, 43 - Costruzioni;1.463.272;4.155;1.467.427
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli;9.652;29.304;38.956
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli);27.091;816;27.907
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli);1.054;110;1.164
49 - Trasporto terrestre e trasporto mediante condotte;1.857;657;2.514
50 - Trasporto marittimo e per vie d'acqua;3;11;14
52 - Magazzinaggio e attività di supporto ai trasporti;546;247;793
53 - Servizi postali e attività di corriere;1.590;-;1.590
55 - Alloggio;12;1;13
56 - Attività dei servizi di ristorazione;311;-;311
58 - Attività editoriali;462;1;463
59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore;1;-;1
61 - Telecomunicazioni;48;61;109
62 - Produzione di software, consulenza informatica e attività connesse;5;-;5
68 - Attività immobiliari;62;5;67
69 - Attività legali e contabilità;1;-;1
70 - Attività di direzione aziendale e di consulenza gestionale;80;2;82
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche;136;30;166
72 - Ricerca scientifica e sviluppo;8;6;14
73 - Pubblicità e ricerche di mercato;5;2;7
74 - Altre attività professionali, scientifiche e tecniche;33;23;56
75 - Servizi veterinari;9;61;70
77 - Attività di noleggio e leasing operativo;102;15;117
79 - Attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse;6;-;6
80 - Servizi di vigilanza e investigazione;4;1;5
81 - Attività di servizi per edifici e paesaggio;8.243;1.753;9.996
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese;220;11;231
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria;308;112;420
85 - Istruzione;16;2;18
86, 87, 88 - Pubblica amministrazione, istruzione e sanità;86;1.682;1.768
90 - Attività creative, artistiche e di intrattenimento;-;1;1
92 - Attività riguardanti le lotterie, le scommesse, le case da gioco;2;6;8
93 - Attività sportive, di intrattenimento e di divertimento;1;2;3
94 - Attività di organizzazioni associative;17;-;17
95 - Riparazione di computer e di beni per uso personale e per la casa;13;10;23
96 - Altre attività di servizi per la persona;1.287;43;1.330
Totale;2.840.177;161.090;3.001.267
