Capitolo dell'Elenco;Descrizione;RS NP (t);RS P (t);Totale (t)
01;Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali;34.663;14;34.677
02;Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;58.992;7;58.999
03;Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;26.599;210;26.809
04;Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;5.169;-;5.169
05;Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;-;145;145
06;Rifiuti dei processi chimici inorganici;1.208;423;1.631
07;Rifiuti dei processi chimici organici;12.861;3.244;16.105
08;Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;4.213;880;5.093
09;Rifiuti dell'industria fotografica;11;133;144
10;Rifiuti provenienti da processi termici;359.983;13.536;373.519
11;Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;1.443;542;1.985
12;Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;101.049;3.424;104.473
13;Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);-;4.638;4.638
14;Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);-;221;221
15;Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;72.571;3.924;76.495
16;Rifiuti non specificati altrimenti nell'elenco;86.651;35.443;122.094
17;Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);1.461.062;8.773;1.469.835
18;Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);111;1.803;1.914
19;Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;579.431;83.512;662.943
20;Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata;34.160;218;34.378
Totale;Totale;2.840.177;161.090;3.001.267
