Capitolo dell'Elenco;Descrizione;RS NP (t);RS P (t);Totale (t)
01;Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali;130;-;130.0
02;Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;6.741;-;6.741
03;Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone;397;-;397.0
04;Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;76;-;76.0
05;Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;-;440;440.0
06;Rifiuti dei processi chimici inorganici;6;5.719;5.725
07;Rifiuti dei processi chimici organici;48;3;51.0
08;Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;98;22;120.0
09;Rifiuti dell'industria fotografica;1;13;14.0
10;Rifiuti provenienti da processi termici;59.997;3.902;63.899
11;Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;21;159;180.0
12;Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;2.798;780;3.578
13;Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);-;461;461.0
14;Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);-;12;12.0
15;Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;7.520;251;7.771
16;Rifiuti non specificati altrimenti nell'elenco;6.528;4.143;10.671
17;Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);139.061;657;139.718
18;Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);6;428;434.0
19;Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;49.783;155;49.938
20;Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata;2.276;7;2.283
Totale;Totale;275.487;17.152;292.639
