Descrizione attività,RS NP (t),RS P (t),Totale (t)
"01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",8.041,183,8.224
03 - Pesca e acquacoltura,12,-,12
06 - Estrazione di petrolio greggio e di gas naturale,12.518,932,13.450
08 - Altre attività di estrazione di minerali da cave e miniere,868,11,879
09 - Attività dei servizi di supporto all'estrazione,992,665,1.657
"10, 11 - Industria alimentare e delle bevande",120.136,154,120.290
13 - Industria tessile,3.421,19,3.440
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia,3.636,402,4.038
15 - Fabbricazione di articoli in pelle e simili,3.058,14,3.072
"16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio",7.776,68,7.844
17 - Fabbricazione di carta e di prodotti in carta,55.002,395,55.397
18 - Stampa e riproduzione di supporti registrati,4.790,163,4.953
"19 - Raffinerie petrolio, fabbricazione coke",343,51,394
20 - Fabbricazione di prodotti chimici,20.300,4.670,24.970
21 - Fabbricazione di prodotti farmaceutici di base e preparati,1.755,438,2.193
22 - Industria gomma e materie plastiche,17.957,2.488,20.445
23 - Industria minerali non metalliferi,38.475,2.904,41.379
24 - Industria metallurgica,10.997,3.147,14.144
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature),130.337,5.654,135.991
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi,3.202,1.504,4.706
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche,3.958,3.986,7.944
28 - Fabbricazione di macchinari e apparecchiature n.c.a.,11.220,358,11.578
29 - Fabbricazione autoveicoli rimorchi e semirimorchi,26.126,3.552,29.678
30 - Fabbricazione di altri mezzi di trasporto,3.604,431,4.035
31 - Fabbricazione di mobili,11.676,219,11.895
32 - Altre industrie manifatturiere,1.334,507,1.841
"33 - Riparazione, manutenzione e installazione macchine e apparecchiature",1.479,1.132,2.611
"35 - Fornitura di energia elettrica, gas, vapore e aria",1.701,2.039,3.740
"36 - Raccolta, trattamento e fornitura di acqua",29.941,6,29.947
37 - Gestione delle reti fognarie,21.756,39,21.795
"38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali",695.152,11.158,706.310
39 - Attività di risanamento e altri servizi di gestione dei rifiuti,3.058,1.763,4.821
"41, 42, 43 - Costruzioni",1.510.326,4.588,1.514.914
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,25.668,39.411,65.079
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),7.918,1.263,9.181
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),1.240,209,1.449
49 - Trasporto terrestre e trasporto mediante condotte,23.197,1.255,24.452
50 - Trasporto marittimo e per vie d'acqua,270,37,307
52 - Magazzinaggio e attività di supporto ai trasporti,1.625,523,2.148
53 - Servizi postali e attività di corriere,15,-,15
55 - Alloggio,56,-,56
56 - Attività dei servizi di ristorazione,790,-,790
58 - Attività editoriali,541,41,582
"59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore",4,1,5
61 - Telecomunicazioni,96,23,119
"62 - Produzione di software, consulenza informatica e attività connesse",38,-,38
63 - Attività dei servizi d'informazione e altri servizi informatici,1,-,1
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),17,-,17
68 - Attività immobiliari,104,4,108
70 - Attività di direzione aziendale e di consulenza gestionale,127,3,130
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche,2.665,65,2.730
72 - Ricerca scientifica e sviluppo,89,48,137
73 - Pubblicità e ricerche di mercato,2,1,3
"74 - Altre attività professionali, scientifiche e tecniche",107,12,119
75 - Servizi veterinari,79,74,153
77 - Attività di noleggio e leasing operativo,908,86,994
80 - Servizi di vigilanza e investigazione,13,1,14
81 - Attività di servizi per edifici e paesaggio,1.016,21,1.037
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese,606,7,613
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria,42,17,59
85 - Istruzione,1,14,15
"86, 87, 88 - Pubblica amministrazione, istruzione e sanità",225,3.375,3.600
"91 - Attività di biblioteche, archivi, musei ed altre attività culturali",6,-,6
"92 - Attività riguardanti le lotterie, le scommesse, le case da gioco",11,20,31
"93 - Attività sportive, di intrattenimento e di divertimento",104,-,104
94 - Attività di organizzazioni associative,1,1,2
95 - Riparazione di computer e di beni per uso personale e per la casa,20,3,23
96 - Altre attività di servizi per la persona,1.267,315,1.582
Totale,2.833.816,100.470,2.934.286
