Capitolo dell'Elenco,Descrizione,RS NP (t),RS P (t),Totale (t)
01,"Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali",5.959,140,6.099
02,"Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti",82.000,6,82.006
03,"Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone",52.541,214,52.755
04,Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile,4.740,-,4.740
05,"Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone",-,518,518
06,Rifiuti dei processi chimici inorganici,3.065,3.995,7.060
07,Rifiuti dei processi chimici organici,9.194,3.838,13.032
08,"Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa",9.270,1.728,10.998
09,Rifiuti dell'industria fotografica,24,99,123
10,Rifiuti provenienti da processi termici,33.371,2.295,35.666
11,Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa,3.650,5.802,9.452
12,Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica,154.206,3.482,157.688
13,"Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12)",-,5.150,5.150
14,"Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08)",-,827,827
15,"Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti",79.357,3.102,82.459
16,Rifiuti non specificati altrimenti nell'elenco,141.060,45.060,186.120
17,Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati),1.498.560,7.240,1.505.800
18,Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie),305,3.618,3.923
19,"Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale",723.356,13.097,736.453
20,Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata,33.158,259,33.417
Totale,Totale,2.833.816,100.470,2.934.286
