Capitolo dell'Elenco,Descrizione,RS NP (t),RS P (t),Totale (t)
01,"Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali",4.519,174,4.693
02,"Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti",27.972,2,27.974
03,"Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone",3.763,43,3.806
04,Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile,1.901,-,1.901
05,"Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone",-,670,670
06,Rifiuti dei processi chimici inorganici,90,93,183
07,Rifiuti dei processi chimici organici,4.865,1.033,5.898
08,"Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa",715,464,1.179
09,Rifiuti dell'industria fotografica,4,18,22
10,Rifiuti provenienti da processi termici,10.961,12.039,23.000
11,Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa,134,684,818
12,Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica,51.934,1.114,53.048
13,"Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12)",-,31.929,31.929
14,"Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08)",-,138,138
15,"Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti",24.568,2.964,27.532
16,Rifiuti non specificati altrimenti nell'elenco,1.052.562,51.079,1.103.641
17,Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati),701.928,3.090,705.018
18,Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie),53,1.168,1.221
19,"Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale",281.411,31.087,312.498
20,Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata,8.821,49,8.870
Totale,Totale,2.176.201,137.838,2.314.039
