Descrizione attività,RS NP (t),RS P (t),Totale (t)
"01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",133.065,1.005,134.070
02 - Silvicoltura ed utilizzo di aree forestali,722,-,722
03 - Pesca e acquacoltura,144,5,149
06 - Estrazione di petrolio greggio e di gas naturale,52.834,2.272,55.106
07 - Estrazione di minerali metalliferi,-,1,1
08 - Altre attività di estrazione di minerali da cave e miniere,5.239,76,5.315
09 - Attività dei servizi di supporto all'estrazione,16.014,1.566,17.580
"10, 11 - Industria alimentare e delle bevande",448.315,2.424,450.739
12 - Industria del tabacco,14.483,102,14.585
13 - Industria tessile,14.076,718,14.794
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia,12.179,87,12.266
15 - Fabbricazione di articoli in pelle e simili,12.610,270,12.880
"16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio",229.200,1.314,230.514
17 - Fabbricazione di carta e di prodotti in carta,97.928,721,98.649
18 - Stampa e riproduzione di supporti registrati,38.160,1.437,39.597
"19 - Raffinerie petrolio, fabbricazione coke",223,1.488,1.711
20 - Fabbricazione di prodotti chimici,91.601,116.691,208.292
21 - Fabbricazione di prodotti farmaceutici di base e preparati,18.279,8.374,26.653
22 - Industria gomma e materie plastiche,69.761,8.705,78.466
23 - Industria minerali non metalliferi,963.821,53.156,1.016.977
24 - Industria metallurgica,357.196,15.431,372.627
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature),352.143,37.284,389.427
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi,8.368,2.162,10.530
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche,26.531,2.786,29.317
28 - Fabbricazione di macchinari e apparecchiature n.c.a.,191.134,36.178,227.312
29 - Fabbricazione autoveicoli rimorchi e semirimorchi,23.597,9.678,33.275
30 - Fabbricazione di altri mezzi di trasporto,3.423,1.161,4.584
31 - Fabbricazione di mobili,22.025,705,22.730
32 - Altre industrie manifatturiere,8.823,1.377,10.200
"33 - Riparazione, manutenzione e installazione macchine e apparecchiature",12.024,6.712,18.736
"35 - Fornitura di energia elettrica, gas, vapore e aria",154.081,6.520,160.601
"36 - Raccolta, trattamento e fornitura di acqua",228.799,184,228.983
37 - Gestione delle reti fognarie,466.571,18.337,484.908
"38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali",2.866.929,354.038,3.220.967
39 - Attività di risanamento e altri servizi di gestione dei rifiuti,14.364,9.877,24.241
"41, 42, 43 - Costruzioni",5.376.487,61.447,5.437.934
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,83.769,152.729,236.498
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),252.440,7.873,260.313
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),8.261,880,9.141
49 - Trasporto terrestre e trasporto mediante condotte,88.095,9.427,97.522
50 - Trasporto marittimo e per vie d'acqua,1.079,12.011,13.090
51 - Trasporto aereo,86,1,87
52 - Magazzinaggio e attività di supporto ai trasporti,32.799,3.481,36.280
53 - Servizi postali e attività di corriere,72,-,72
55 - Alloggio,43,9,52
56 - Attività dei servizi di ristorazione,2.157,52,2.209
58 - Attività editoriali,4.044,75,4.119
"59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore",4,23,27
61 - Telecomunicazioni,272,161,433
"62 - Produzione di software, consulenza informatica e attività connesse",564,31,595
63 - Attività dei servizi d'informazione e altri servizi informatici,710,6,716
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),19,2,21
68 - Attività immobiliari,211,176,387
69 - Attività legali e contabilità,11,1,12
70 - Attività di direzione aziendale e di consulenza gestionale,82,13,95
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche,1.189,356,1.545
72 - Ricerca scientifica e sviluppo,1.949,550,2.499
73 - Pubblicità e ricerche di mercato,769,8,777
"74 - Altre attività professionali, scientifiche e tecniche",607,617,1.224
75 - Servizi veterinari,17,107,124
77 - Attività di noleggio e leasing operativo,3.009,290,3.299
"78 - Attività di ricerca, selezione, fornitura di personale",1,1,2
"79 - Attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse",-,2,2
80 - Servizi di vigilanza e investigazione,21,7,28
81 - Attività di servizi per edifici e paesaggio,13.402,223,13.625
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese,16.812,685,17.497
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria,1.503,5.880,7.383
85 - Istruzione,61,216,277
"86, 87, 88 - Pubblica amministrazione, istruzione e sanità",5.559,12.405,17.964
"90 - Attività creative, artistiche e di intrattenimento",104,21,125
"91 - Attività di biblioteche, archivi, musei ed altre attività culturali",29,4,33
"92 - Attività riguardanti le lotterie, le scommesse, le case da gioco",22,10,32
"93 - Attività sportive, di intrattenimento e di divertimento",1.672,218,1.890
94 - Attività di organizzazioni associative,1.003,33,1.036
95 - Riparazione di computer e di beni per uso personale e per la casa,72,22,94
96 - Altre attività di servizi per la persona,2.518,3.588,6.106
Totale,12.856.186,976.483,13.832.669
