Capitolo dell'Elenco,Descrizione,RS NP (t),RS P (t),Totale (t)
01,"Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali",33.497,717,34.214
02,"Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti",522.429,38,522.467
03,"Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone",119.932,1.322,121.254
04,Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile,12.871,-,12.871
05,"Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone",4,3.120,3.124
06,Rifiuti dei processi chimici inorganici,6.870,8.724,15.594
07,Rifiuti dei processi chimici organici,47.665,106.486,154.151
08,"Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa",498.565,10.581,509.146
09,Rifiuti dell'industria fotografica,175,1.456,1.631
10,Rifiuti provenienti da processi termici,640.297,12.840,653.137
11,Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa,23.795,15.187,38.982
12,Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica,742.522,85.948,828.470
13,"Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12)",-,73.280,73.280
14,"Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08)",-,10.813,10.813
15,"Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti",516.555,20.511,537.066
16,Rifiuti non specificati altrimenti nell'elenco,534.748,197.365,732.113
17,Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati),5.274.254,67.986,5.342.240
18,Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie),5.391,14.464,19.855
19,"Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale",3.461.714,344.267,3.805.981
20,Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata,414.902,1.378,416.280
Totale,Totale,12.856.186,976.483,13.832.669
