Descrizione attività,RS NP (t),RS P (t),Totale (t)
"01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",105,101,206
03 - Pesca e acquacoltura,1,1,2
08 - Altre attività di estrazione di minerali da cave e miniere,1.148,18,1.166
"10, 11 - Industria alimentare e delle bevande",65.321,40,65.361
13 - Industria tessile,673,-,673
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia,462,-,462
15 - Fabbricazione di articoli in pelle e simili,198,-,198
"16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio",2.397,26,2.423
17 - Fabbricazione di carta e di prodotti in carta,3.374,235,3.609
18 - Stampa e riproduzione di supporti registrati,1.447,44,1.491
"19 - Raffinerie petrolio, fabbricazione coke",375,4.651,5.026
20 - Fabbricazione di prodotti chimici,4.760,4.014,8.774
21 - Fabbricazione di prodotti farmaceutici di base e preparati,542,2.469,3.011
22 - Industria gomma e materie plastiche,3.091,326,3.417
23 - Industria minerali non metalliferi,48.442,1.168,49.610
24 - Industria metallurgica,21.875,5.952,27.827
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature),17.430,1.585,19.015
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi,519,333,852
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche,973,373,1.346
28 - Fabbricazione di macchinari e apparecchiature n.c.a.,3.721,2.301,6.022
29 - Fabbricazione autoveicoli rimorchi e semirimorchi,1.276,198,1.474
30 - Fabbricazione di altri mezzi di trasporto,7.560,2.601,10.161
31 - Fabbricazione di mobili,610,31,641
32 - Altre industrie manifatturiere,211,42,253
"33 - Riparazione, manutenzione e installazione macchine e apparecchiature",6.383,2.635,9.018
"35 - Fornitura di energia elettrica, gas, vapore e aria",60.879,5.475,66.354
"36 - Raccolta, trattamento e fornitura di acqua",24.368,27,24.395
37 - Gestione delle reti fognarie,49.139,379,49.518
"38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali",829.218,71.705,900.923
39 - Attività di risanamento e altri servizi di gestione dei rifiuti,3.032,7.481,10.513
"41, 42, 43 - Costruzioni",1.420.870,7.973,1.428.843
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,11.424,35.658,47.082
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),18.645,4.597,23.242
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),1.213,210,1.423
49 - Trasporto terrestre e trasporto mediante condotte,18.808,2.922,21.730
50 - Trasporto marittimo e per vie d'acqua,115,6,121
51 - Trasporto aereo,180,36,216
52 - Magazzinaggio e attività di supporto ai trasporti,9.610,8.551,18.161
53 - Servizi postali e attività di corriere,2,4,6
55 - Alloggio,21,2,23
56 - Attività dei servizi di ristorazione,168,10,178
58 - Attività editoriali,1,16,17
"59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore",1,-,1
60 - Attività di programmazione e trasmissione,1,-,1
61 - Telecomunicazioni,97,2,99
"62 - Produzione di software, consulenza informatica e attività connesse",9,11,20
63 - Attività dei servizi d'informazione e altri servizi informatici,21,-,21
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),41,44,85
66 - Attività ausiliarie dei servizi finanziari e delle attività assicurative,1,-,1
68 - Attività immobiliari,23,57,80
69 - Attività legali e contabilità,1,-,1
70 - Attività di direzione aziendale e di consulenza gestionale,59,1,60
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche,325,80,405
72 - Ricerca scientifica e sviluppo,110,200,310
73 - Pubblicità e ricerche di mercato,8,-,8
"74 - Altre attività professionali, scientifiche e tecniche",153,23,176
75 - Servizi veterinari,-,15,15
77 - Attività di noleggio e leasing operativo,137,58,195
"79 - Attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse",42,16,58
81 - Attività di servizi per edifici e paesaggio,2.846,719,3.565
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese,882,636,1.518
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria,3.019,4.098,7.117
85 - Istruzione,33,34,67
"86, 87, 88 - Pubblica amministrazione, istruzione e sanità",482,4.611,5.093
"90 - Attività creative, artistiche e di intrattenimento",3,-,3
"91 - Attività di biblioteche, archivi, musei ed altre attività culturali",21,29,50
"92 - Attività riguardanti le lotterie, le scommesse, le case da gioco",25,13,38
"93 - Attività sportive, di intrattenimento e di divertimento",52,24,76
94 - Attività di organizzazioni associative,13,3,16
95 - Riparazione di computer e di beni per uso personale e per la casa,24,4,28
96 - Altre attività di servizi per la persona,461,57,518
Totale,2.649.477,184.931,2.834.408
