Capitolo dell'Elenco,Descrizione,RS NP (t),RS P (t),Totale (t)
01,"Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali",88.026,110,88.136
02,"Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti",492.107,35,492.142
03,"Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone",410.791,619,411.410
04,Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile,69.002,319,69.321
05,"Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone",355,15.743,16.098
06,Rifiuti dei processi chimici inorganici,55.201,48.874,104.075
07,Rifiuti dei processi chimici organici,149.716,611.307,761.023
08,"Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa",105.284,21.957,127.241
09,Rifiuti dell'industria fotografica,351,2.778,3.129
10,Rifiuti provenienti da processi termici,2.209.958,261.054,2.471.012
11,Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa,57.275,116.116,173.391
12,Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica,1.566.718,155.758,1.722.476
13,"Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12)",-,365.135,365.135
14,"Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08)",-,14.887,14.887
15,"Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti",1.161.342,54.086,1.215.428
16,Rifiuti non specificati altrimenti nell'elenco,819.044,461.759,1.280.803
17,Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati),14.617.152,168.839,14.785.991
18,Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie),7.906,32.008,39.914
19,"Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale",8.032.065,796.322,8.828.387
20,Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata,565.744,4.425,570.169
Totale,Totale,30.408.037,3.132.131,33.540.168
