Capitolo dell'Elenco,Descrizione,RS NP (t),RS P (t),Totale (t)
ND,Attività ISTAT non determinata,84,6,90
01,"Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali",14.636,-,14.636
02,"Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti",79.561,2,79.563
03,"Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone",181.982,305,182.287
04,Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile,31.765,-,31.765
05,"Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone",11.645,1.240,12.885
06,Rifiuti dei processi chimici inorganici,3.969,3.709,7.678
07,Rifiuti dei processi chimici organici,19.453,4.634,24.087
08,"Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa",23.296,2.592,25.888
09,Rifiuti dell'industria fotografica,25,189,214
10,Rifiuti provenienti da processi termici,57.290,1.293,58.583
11,Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa,6.042,7.624,13.666
12,Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica,143.526,4.737,148.263
13,"Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12)",-,19.454,19.454
14,"Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08)",-,2.495,2.495
15,"Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti",117.210,4.037,121.247
16,Rifiuti non specificati altrimenti nell'elenco,117.192,60.770,177.962
17,Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati),1.768.384,7.608,1.775.992
18,Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie),2.613,3.960,6.573
19,"Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale",956.264,42.792,999.056
20,Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata,41.149,163,41.312
Totale,Totale,3.576.086,167.610,3.743.696
