Descrizione attività,RS NP (t),RS P (t),Totale (t)
"01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",7.151,584,7.735
02 - Silvicoltura ed utilizzo di aree forestali,66,5,71
03 - Pesca e acquacoltura,-,89,89
06 - Estrazione di petrolio greggio e di gas naturale,593,67,660
08 - Altre attività di estrazione di minerali da cave e miniere,2.429,119,2.548
09 - Attività dei servizi di supporto all'estrazione,1.219,10,1.229
"10, 11 - Industria alimentare e delle bevande",301.811,1.502,303.313
12 - Industria del tabacco,58,1,59
13 - Industria tessile,39.315,6.922,46.237
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia,5.135,17,5.152
15 - Fabbricazione di articoli in pelle e simili,3.565,704,4.269
"16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio",42.324,6.784,49.108
17 - Fabbricazione di carta e di prodotti in carta,149.728,4.387,154.115
18 - Stampa e riproduzione di supporti registrati,25.151,2.469,27.620
"19 - Raffinerie petrolio, fabbricazione coke",2.760,5.014,7.774
20 - Fabbricazione di prodotti chimici,66.896,76.621,143.517
21 - Fabbricazione di prodotti farmaceutici di base e preparati,8.412,19.552,27.964
22 - Industria gomma e materie plastiche,104.256,19.760,124.016
23 - Industria minerali non metalliferi,107.011,4.802,111.813
24 - Industria metallurgica,347.045,57.326,404.371
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature),410.874,40.202,451.076
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi,2.996,2.289,5.285
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche,15.433,2.662,18.095
28 - Fabbricazione di macchinari e apparecchiature n.c.a.,86.613,22.130,108.743
29 - Fabbricazione autoveicoli rimorchi e semirimorchi,136.409,20.885,157.294
30 - Fabbricazione di altri mezzi di trasporto,10.534,3.782,14.316
31 - Fabbricazione di mobili,3.883,161,4.044
32 - Altre industrie manifatturiere,5.031,1.557,6.588
"33 - Riparazione, manutenzione e installazione macchine e apparecchiature",9.578,2.980,12.558
"35 - Fornitura di energia elettrica, gas, vapore e aria",41.749,5.029,46.778
"36 - Raccolta, trattamento e fornitura di acqua",269.009,3.805,272.814
37 - Gestione delle reti fognarie,117.984,15.943,133.927
"38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali",1.936.953,437.825,2.374.778
39 - Attività di risanamento e altri servizi di gestione dei rifiuti,8.167,25.310,33.477
"41, 42, 43 - Costruzioni",6.052.282,113.890,6.166.172
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,77.949,141.101,219.050
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),249.311,13.039,262.350
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),22.223,948,23.171
49 - Trasporto terrestre e trasporto mediante condotte,69.718,8.455,78.173
50 - Trasporto marittimo e per vie d'acqua,63,242,305
51 - Trasporto aereo,8,2,10
52 - Magazzinaggio e attività di supporto ai trasporti,29.368,7.617,36.985
53 - Servizi postali e attività di corriere,43,-,43
55 - Alloggio,179,6,185
56 - Attività dei servizi di ristorazione,1.310,1,1.311
58 - Attività editoriali,2.495,1,2.496
"59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore",9,-,9
60 - Attività di programmazione e trasmissione,116,34,150
61 - Telecomunicazioni,488,139,627
"62 - Produzione di software, consulenza informatica e attività connesse",233,13,246
63 - Attività dei servizi d'informazione e altri servizi informatici,12,3,15
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),112,5,117
66 - Attività ausiliarie dei servizi finanziari e delle attività assicurative,4,2,6
68 - Attività immobiliari,367,54,421
69 - Attività legali e contabilità,158,1,159
70 - Attività di direzione aziendale e di consulenza gestionale,119,162,281
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche,2.133,1.295,3.428
72 - Ricerca scientifica e sviluppo,1.431,517,1.948
73 - Pubblicità e ricerche di mercato,56,1,57
"74 - Altre attività professionali, scientifiche e tecniche",9.200,282,9.482
75 - Servizi veterinari,1,112,113
77 - Attività di noleggio e leasing operativo,459,230,689
"79 - Attività dei servizi delle agenzie di viaggio, dei tour operator e servizi di prenotazione e attività connesse",8,-,8
80 - Servizi di vigilanza e investigazione,17,6,23
81 - Attività di servizi per edifici e paesaggio,4.751,427,5.178
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese,7.247,109,7.356
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria,394,115,509
85 - Istruzione,123,101,224
"86, 87, 88 - Pubblica amministrazione, istruzione e sanità",889,11.209,12.098
"90 - Attività creative, artistiche e di intrattenimento",112,5,117
"91 - Attività di biblioteche, archivi, musei ed altre attività culturali",77,2,79
"92 - Attività riguardanti le lotterie, le scommesse, le case da gioco",2,9,11
"93 - Attività sportive, di intrattenimento e di divertimento",324,10,334
94 - Attività di organizzazioni associative,77,4,81
95 - Riparazione di computer e di beni per uso personale e per la casa,573,22,595
96 - Altre attività di servizi per la persona,636,184,820
99 - Organizzazioni ed organismi extraterritoriali,5,2,7
Totale,10.805.220,1.091.652,11.896.872
