Descrizione attività,RS NP (t),RS P (t),Totale (t)
"01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",9.922,342,10.264
03 - Pesca e acquacoltura,32,6,38
06 - Estrazione di petrolio greggio e di gas naturale,3.037,224,3.261
08 - Altre attività di estrazione di minerali da cave e miniere,3.774,61,3.835
09 - Attività dei servizi di supporto all'estrazione,-,1,1
"10, 11 - Industria alimentare e delle bevande",203.556,566,204.122
12 - Industria del tabacco,2,21,23
13 - Industria tessile,4.709,50,4.759
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia,8.397,8,8.405
15 - Fabbricazione di articoli in pelle e simili,13.969,135,14.104
"16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio",23.079,103,23.182
17 - Fabbricazione di carta e di prodotti in carta,19.633,379,20.012
18 - Stampa e riproduzione di supporti registrati,4.398,189,4.587
"19 - Raffinerie petrolio, fabbricazione coke",11.032,55.750,66.782
20 - Fabbricazione di prodotti chimici,20.939,1.841,22.780
21 - Fabbricazione di prodotti farmaceutici di base e preparati,10.084,2.180,12.264
22 - Industria gomma e materie plastiche,11.816,184,12.000
23 - Industria minerali non metalliferi,37.722,933,38.655
24 - Industria metallurgica,1.856.299,22.414,1.878.713
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature),46.477,4.254,50.731
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi,7.029,151,7.180
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche,8.372,891,9.263
28 - Fabbricazione di macchinari e apparecchiature n.c.a.,11.180,6.130,17.310
29 - Fabbricazione autoveicoli rimorchi e semirimorchi,23.469,2.777,26.246
30 - Fabbricazione di altri mezzi di trasporto,6.442,2.303,8.745
31 - Fabbricazione di mobili,9.483,123,9.606
32 - Altre industrie manifatturiere,2.860,79,2.939
"33 - Riparazione, manutenzione e installazione macchine e apparecchiature",5.163,1.063,6.226
"35 - Fornitura di energia elettrica, gas, vapore e aria",403.610,34.145,437.755
"36 - Raccolta, trattamento e fornitura di acqua",188.139,39,188.178
37 - Gestione delle reti fognarie,160.527,3.959,164.486
"38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali",3.076.108,66.951,3.143.059
39 - Attività di risanamento e altri servizi di gestione dei rifiuti,6.896,3.660,10.556
"41, 42, 43 - Costruzioni",4.563.734,9.125,4.572.859
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,56.769,127.811,184.580
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),82.906,2.865,85.771
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),14.309,340,14.649
49 - Trasporto terrestre e trasporto mediante condotte,13.885,1.576,15.461
50 - Trasporto marittimo e per vie d'acqua,214,23,237
51 - Trasporto aereo,774,2,776
52 - Magazzinaggio e attività di supporto ai trasporti,27.600,16.477,44.077
53 - Servizi postali e attività di corriere,255,-,255
55 - Alloggio,8.245,17,8.262
56 - Attività dei servizi di ristorazione,5.128,10,5.138
58 - Attività editoriali,675,1,676
"59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore",70,-,70
60 - Attività di programmazione e trasmissione,2,-,2
61 - Telecomunicazioni,57,50,107
"62 - Produzione di software, consulenza informatica e attività connesse",27,2,29
63 - Attività dei servizi d'informazione e altri servizi informatici,8,6,14
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),107,6,113
68 - Attività immobiliari,231,1,232
69 - Attività legali e contabilità,52,26,78
70 - Attività di direzione aziendale e di consulenza gestionale,55,33,88
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche,586,126,712
72 - Ricerca scientifica e sviluppo,57,17,74
73 - Pubblicità e ricerche di mercato,92,2,94
"74 - Altre attività professionali, scientifiche e tecniche",46,756,802
75 - Servizi veterinari,1,70,71
77 - Attività di noleggio e leasing operativo,231,40,271
80 - Servizi di vigilanza e investigazione,55,1,56
81 - Attività di servizi per edifici e paesaggio,13.481,667,14.148
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese,4.647,30,4.677
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria,4.711,3.138,7.849
85 - Istruzione,41,37,78
"86, 87, 88 - Pubblica amministrazione, istruzione e sanità",2.227,11.436,13.663
"90 - Attività creative, artistiche e di intrattenimento",108,1,109
"92 - Attività riguardanti le lotterie, le scommesse, le case da gioco",60,-,60
"93 - Attività sportive, di intrattenimento e di divertimento",910,2,912
94 - Attività di organizzazioni associative,235,4,239
95 - Riparazione di computer e di beni per uso personale e per la casa,16,9,25
96 - Altre attività di servizi per la persona,572,48,620
98 - Produzione di beni e servizi indifferenziati per uso proprio da parte di famiglie e convivenze,1,-,1
99 - Organizzazioni ed organismi extraterritoriali,143,16,159
ND - Attività ISTAT non determinata,-,1,1
Totale,11.001.478,386.684,11.388.162
