Capitolo dell'Elenco,Descrizione,RS NP (t),RS P (t),Totale (t)
ND,Attività ISTAT non determinata,-,1,1
01,"Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali",29.636,16,29.652
02,"Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti",205.227,2,205.229
03,"Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone",61.328,308,61.636
04,Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile,13.378,-,13.378
05,"Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone",7,1.357,1.364
06,Rifiuti dei processi chimici inorganici,3.712,2.301,6.013
07,Rifiuti dei processi chimici organici,19.315,6.240,25.555
08,"Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa",4.394,1.458,5.852
09,Rifiuti dell'industria fotografica,34,440,474
10,Rifiuti provenienti da processi termici,2.845.559,13.813,2.859.372
11,Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa,2.269,2.135,4.404
12,Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica,49.684,9.981,59.665
13,"Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12)",-,52.386,52.386
14,"Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08)",-,253,253
15,"Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti",100.169,5.102,105.271
16,Rifiuti non specificati altrimenti nell'elenco,556.645,201.261,757.906
17,Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati),4.340.607,25.676,4.366.283
18,Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie),488,14.202,14.690
19,"Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale",2.560.477,49.649,2.610.126
20,Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata,208.549,103,208.652
Totale,Totale,11.001.478,386.684,11.388.162
