Capitolo dell'Elenco,Descrizione,RS NP (t),RS P (t),Totale (t)
01,"Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali",298,182,480
02,"Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti",65.999,4,66.003
03,"Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone",4.154,120,4.274
04,Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile,522,-,522
05,"Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone",252,39.008,39.260
06,Rifiuti dei processi chimici inorganici,838,1.982,2.820
07,Rifiuti dei processi chimici organici,1.828,1.824,3.652
08,"Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa",810,277,1.087
09,Rifiuti dell'industria fotografica,38,49,87
10,Rifiuti provenienti da processi termici,442.269,45.581,487.850
11,Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa,2.219,70.013,72.232
12,Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica,7.281,981,8.262
13,"Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12)",-,6.961,6.961
14,"Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08)",-,102,102
15,"Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti",16.324,3.837,20.161
16,Rifiuti non specificati altrimenti nell'elenco,104.680,58.704,163.384
17,Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati),1.372.268,44.786,1.417.054
18,Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie),97,4.974,5.071
19,"Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale",654.352,60.677,715.029
20,Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata,56.440,217,56.657
Totale,Totale,2.730.669,340.279,3.070.948
