Capitolo dell'Elenco,Descrizione,RS NP (t),RS P (t),Totale (t)
ND,Attività ISTAT non determinata,10,15.0,25
01,"Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali",246.380,92.0,246.472
02,"Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti",147.558,17.0,147.575
03,"Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone",264.846,202.0,265.048
04,Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile,202.139,171.0,202.310
05,"Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone",1.446,2.305,3.751
06,Rifiuti dei processi chimici inorganici,453.965,6.29,460.255
07,Rifiuti dei processi chimici organici,16.721,12.595,29.316
08,"Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa",28.540,4.6,33.140
09,Rifiuti dell'industria fotografica,51,191.0,242
10,Rifiuti provenienti da processi termici,73.639,6.076,79.715
11,Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa,29.622,27.317,56.939
12,Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica,105.291,10.041,115.332
13,"Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12)",-,41.925,41.925
14,"Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08)",-,2.74,2.740
15,"Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti",244.510,20.852,265.362
16,Rifiuti non specificati altrimenti nell'elenco,263.988,120.297,384.285
17,Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati),4.251.324,34.36,4.285.684
18,Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie),1.791,10.4,12.191
19,"Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale",3.156.160,143.594,3.299.754
20,Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata,153.617,1.145,154.762
Totale,Totale,9.641.598,445.225,10.086.823
