Descrizione attività,RS NP (t),RS P (t),Totale (t)
"01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",16.090,424,16.514
02 - Silvicoltura ed utilizzo di aree forestali,367,9,376
08 - Altre attività di estrazione di minerali da cave e miniere,27.544,107,27.651
09 - Attività dei servizi di supporto all'estrazione,-,1,1
"10, 11 - Industria alimentare e delle bevande",88.995,336,89.331
13 - Industria tessile,4.720,84,4.804
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia,419,3,422
15 - Fabbricazione di articoli in pelle e simili,538,22,560
"16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio",10.081,568,10.649
17 - Fabbricazione di carta e di prodotti in carta,66.503,281,66.784
18 - Stampa e riproduzione di supporti registrati,19.911,841,20.752
"19 - Raffinerie petrolio, fabbricazione coke",-,26,26
20 - Fabbricazione di prodotti chimici,5.625,1.656,7.281
21 - Fabbricazione di prodotti farmaceutici di base e preparati,5.356,8.226,13.582
22 - Industria gomma e materie plastiche,12.418,3.274,15.692
23 - Industria minerali non metalliferi,43.656,1.790,45.446
24 - Industria metallurgica,93.023,10.438,103.461
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature),30.519,5.754,36.273
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi,473,214,687
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche,3.332,643,3.975
28 - Fabbricazione di macchinari e apparecchiature n.c.a.,15.693,3.125,18.818
29 - Fabbricazione autoveicoli rimorchi e semirimorchi,11.037,2.101,13.138
30 - Fabbricazione di altri mezzi di trasporto,148,39,187
31 - Fabbricazione di mobili,586,104,690
32 - Altre industrie manifatturiere,828,2.565,3.393
"33 - Riparazione, manutenzione e installazione macchine e apparecchiature",1.843,712,2.555
"35 - Fornitura di energia elettrica, gas, vapore e aria",7.156,838,7.994
"36 - Raccolta, trattamento e fornitura di acqua",56,38,94
37 - Gestione delle reti fognarie,162.165,461,162.626
"38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali",612.597,24.325,636.922
39 - Attività di risanamento e altri servizi di gestione dei rifiuti,89,162,251
"41, 42, 43 - Costruzioni",3.185.848,3.268,3.189.116
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,16.181,25.717,41.898
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),121.763,3.332,125.095
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),463,708,1.171
49 - Trasporto terrestre e trasporto mediante condotte,2.890,1.413,4.303
50 - Trasporto marittimo e per vie d'acqua,-,4,4
51 - Trasporto aereo,2,-,2
52 - Magazzinaggio e attività di supporto ai trasporti,678,1.423,2.101
55 - Alloggio,32,29,61
56 - Attività dei servizi di ristorazione,63,2,65
58 - Attività editoriali,37,4,41
"59 - Attività di produzione cinematografica, di video e di programmi televisivi, di registrazioni musicali e sonore",-,1,1
60 - Attività di programmazione e trasmissione,-,7,7
61 - Telecomunicazioni,7,68,75
"62 - Produzione di software, consulenza informatica e attività connesse",14,3,17
63 - Attività dei servizi d'informazione e altri servizi informatici,90,1,91
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),22,1,23
68 - Attività immobiliari,322,7,329
69 - Attività legali e contabilità,37,-,37
70 - Attività di direzione aziendale e di consulenza gestionale,48,16,64
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche,4,33,37
72 - Ricerca scientifica e sviluppo,358,92,450
73 - Pubblicità e ricerche di mercato,13,6,19
"74 - Altre attività professionali, scientifiche e tecniche",7,38,45
75 - Servizi veterinari,-,24,24
77 - Attività di noleggio e leasing operativo,396,69,465
80 - Servizi di vigilanza e investigazione,34,1,35
81 - Attività di servizi per edifici e paesaggio,835,29,864
82 - Attività di supporto per le funzioni d'ufficio e altri servizi di supporto alle imprese,1.297,575,1.872
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria,3.496,322,3.818
85 - Istruzione,130,49,179
"86, 87, 88 - Pubblica amministrazione, istruzione e sanità",251,2.369,2.620
"90 - Attività creative, artistiche e di intrattenimento",5,2,7
"91 - Attività di biblioteche, archivi, musei ed altre attività culturali",2,3,5
"93 - Attività sportive, di intrattenimento e di divertimento",27,50,77
94 - Attività di organizzazioni associative,33,49,82
95 - Riparazione di computer e di beni per uso personale e per la casa,2,6,8
96 - Altre attività di servizi per la persona,209,31,240
Totale,4.577.364,108.919,4.686.283
