Descrizione attività,RS NP (t),RS P (t),Totale (t)
"01 - Coltivazioni agricole e produzione di prodotti animali, caccia e servizi connessi",256,-,256.0
08 - Altre attività di estrazione di minerali da cave e miniere,1,1,2.0
"10, 11 - Industria alimentare e delle bevande",7.439,5,7.444
13 - Industria tessile,83,-,83.0
14 - Confezioni articoli di abbigliamento. Confezione di articoli in pelle e pelliccia,34,-,34.0
15 - Fabbricazione di articoli in pelle e simili,38,-,38.0
"16 - Industria del legno e dei prodotti in legno e sughero, di articoli in paglia e materiali da intreccio",760,7,767.0
17 - Fabbricazione di carta e di prodotti in carta,3,-,3.0
18 - Stampa e riproduzione di supporti registrati,501,23,524.0
20 - Fabbricazione di prodotti chimici,12,5,17.0
22 - Industria gomma e materie plastiche,102,-,102.0
23 - Industria minerali non metalliferi,130,11,141.0
24 - Industria metallurgica,62.083,11.021,73.104
25 - Fabbricazione di prodotti in metallo (escluse macchinari e attrezzature),2.716,308,3.024
26 - Fabbricazione di computer e prodotti di elettronica e ottica. Apparecchi elettromedicali di misurazione e orologi,-,1,1.0
27 - Fabbricazione di apparecchiature elettriche e per uso domestico non elettriche,477,13,490.0
28 - Fabbricazione di macchinari e apparecchiature n.c.a.,12,10,22.0
29 - Fabbricazione autoveicoli rimorchi e semirimorchi,-,1,1.0
32 - Altre industrie manifatturiere,72,33,105.0
"33 - Riparazione, manutenzione e installazione macchine e apparecchiature",1,488,489.0
"35 - Fornitura di energia elettrica, gas, vapore e aria",543,63,606.0
37 - Gestione delle reti fognarie,4.568,2,4.57
"38 - Attività di raccolta, trattamento e smaltimento dei rifiuti. Recupero dei materiali",32.545,86,32.631
39 - Attività di risanamento e altri servizi di gestione dei rifiuti,7,13,20.0
"41, 42, 43 - Costruzioni",139.304,177,139.481
45 - Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli,970,3.567,4.537
46 - Commercio all'ingrosso (escluso quello di autoveicoli e di motocicli),21.069,548,21.617
47 - Commercio al dettaglio (escluso quello di autoveicoli e di motocicli),544,52,596.0
49 - Trasporto terrestre e trasporto mediante condotte,282,141,423.0
52 - Magazzinaggio e attività di supporto ai trasporti,289,107,396.0
55 - Alloggio,15,-,15.0
56 - Attività dei servizi di ristorazione,4,-,4.0
58 - Attività editoriali,2,-,2.0
61 - Telecomunicazioni,23,1,24.0
"62 - Produzione di software, consulenza informatica e attività connesse",42,-,42.0
64 - Attività di servizi finanziari (escluse le assicurazioni e i fondi pensione),1,-,1.0
70 - Attività di direzione aziendale e di consulenza gestionale,-,1,1.0
71 - Attività degli studi di architettura e d'ingegneria. Collaudi ed analisi tecniche,16,4,20.0
72 - Ricerca scientifica e sviluppo,-,1,1.0
"74 - Altre attività professionali, scientifiche e tecniche",-,1,1.0
75 - Servizi veterinari,-,2,2.0
77 - Attività di noleggio e leasing operativo,2,-,2.0
81 - Attività di servizi per edifici e paesaggio,418,2,420.0
84 - Amministrazione pubblica e difesa. Assicurazione sociale obbligatoria,2,4,6.0
85 - Istruzione,-,1,1.0
"86, 87, 88 - Pubblica amministrazione, istruzione e sanità",6,431,437.0
"91 - Attività di biblioteche, archivi, musei ed altre attività culturali",11,1,12.0
"93 - Attività sportive, di intrattenimento e di divertimento",54,13,67.0
96 - Altre attività di servizi per la persona,50,7,57.0
Totale,275.487,17.152,292.639
