Capitolo dell'Elenco,Descrizione,RS NP (t),RS P (t),Totale (t)
ND,Attività ISTAT non determinata,3.936,507,4.443
01,"Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonchè dal trattamento fisico o chimico di minerali",520.457,128,520.585
02,"Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti",336.058,89,336.147
03,"Rifiuti della lavorazione del legno e della produzione di pannelli, mobili, polpa, carta e cartone",414.527,547,415.074
04,Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile,219.343,29,219.372
05,"Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone",95,3.131,3.226
06,Rifiuti dei processi chimici inorganici,24.576,21.404,45.980
07,Rifiuti dei processi chimici organici,67.054,147.166,214.220
08,"Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa",91.553,19.035,110.588
09,Rifiuti dell'industria fotografica,262,1.653,1.915
10,Rifiuti provenienti da processi termici,991.968,77.704,1.069.672
11,Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa,21.218,60.227,81.445
12,Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica,849.506,78.847,928.353
13,"Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12)",-,73.173,73.173
14,"Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08)",-,7.797,7.797
15,"Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti",542.187,30.167,572.354
16,Rifiuti non specificati altrimenti nell'elenco,369.228,228.364,597.592
17,Rifiuti delle attività di costruzione e demolizione (compreso il terreno proveniente da siti contaminati),6.960.331,131.810,7.092.141
18,Rifiuti prodotti dal settore sanitario e veterinario o da attività di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie),983,13.153,14.136
19,"Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonchè dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale",4.492.073,292.106,4.784.179
20,Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attività commerciali e industriali nonchè dalle istituzioni) inclusi i rifiuti della raccolta differenziata,250.698,1.925,252.623
Totale,Totale,16.156.053,1.188.962,17.345.015
