NOME_PRO,ABB_PRO,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8,10.9,10.0
Bologna,BO,856.4,0.0,7491.34,0.0,383.55,18.95,5261.31,6415.48,0.0,20427.02
Ferrara,FE,19.8,0.0,1475.08,0.0,0.0,13019.84,1442.21,0.0,2110.1,18067.03
Forlì Cesena,FC,8554.73,0.0,20796.66,69.39,5.93,536.55,198.59,4605.84,99.16,34866.86
Modena,MO,19486.92,0.0,0.0,86.1,2302.96,223.35,586.27,9505.57,404.79,32595.96
Parma,PR,46440.19,699.65,1602.04,10233.1,3271.97,118.81,29991.28,6512.48,2089.64,100959.16
Piacenza,PC,545.72,0.0,1086.08,0.0,11197.08,3774.05,0.0,181.93,15.37,16800.22
Ravenna,RA,12217.88,0.0,38188.98,1589.78,0.0,42.52,10279.05,5427.31,330.72,68076.25
Reggio Emilia,RE,665.86,464.29,0.0,53.51,1159.53,24.17,329.98,5017.77,1199.08,8914.19
Rimini,RN,104.17,5.08,483.9,0.0,0.0,0.0,341.32,643.51,0.0,1577.98
,,88891.67,1169.02,71124.08,12031.88,18321.02,17758.24,48430.009999999995,38309.89000000001,6248.86,302284.67
