NOME_PRO,ABB_PRO,0201,0202,0203,0204,0205,0206,0207,0200
Bologna,BO,606.43,1150.76,12262.83,480.0,5359.58,316.4,251.02,20427.02
Ferrara,FE,22.04,839.41,17120.97,0.0,0.0,84.61,0.0,18067.03
Forlì Cesena,FC,107.01,29244.38,5416.3,0.0,34.21,64.95,0.0,34866.85
Modena,MO,664.94,19014.24,9506.58,0.0,2749.3,51.06,609.84,32595.96
Parma,PR,6.52,47762.25,44381.42,29.32,6656.5,2107.54,15.6,100959.16
Piacenza,PC,0.0,573.93,12181.58,0.0,4044.72,0.0,0.0,16800.22
Ravenna,RA,0.03,12236.98,55492.68,0.0,0.0,280.14,66.42,68076.25
Reggio Emilia,RE,79.6,1050.55,1184.54,28.5,6436.68,1.36,132.96,8914.19
Rimini,RN,0.0,109.25,1465.75,0.0,0.0,2.98,0.0,1577.98
,,1486.5700000000002,111981.75,159012.65000000002,537.82,25280.99,2909.04,1075.84,302284.66
